# GOES-R ABI FM4 SRF ch 047 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.4465880       22392.0      0.08231900
  0.4466080       22391.0      0.08366100
  0.4466280       22390.0      0.08501200
  0.4466480       22389.0      0.08637400
  0.4466680       22388.0      0.08774500
  0.4466880       22387.0      0.08912500
  0.4467080       22386.0      0.09051400
  0.4467280       22385.0      0.09191200
  0.4467480       22384.0      0.09331900
  0.4467680       22383.0      0.09473300
  0.4467880       22382.0      0.09615600
  0.4468080       22381.0      0.09758600
  0.4468280       22380.0      0.09902400
  0.4468470       22379.0      0.10046900
  0.4468670       22378.0      0.10192100
  0.4468870       22377.0      0.10338000
  0.4469070       22376.0      0.10484400
  0.4469270       22375.0      0.10631500
  0.4469470       22374.0      0.10779200
  0.4469670       22373.0      0.10927500
  0.4469870       22372.0      0.11076300
  0.4470070       22371.0      0.11225700
  0.4470270       22370.0      0.11377000
  0.4470470       22369.0      0.11530500
  0.4470670       22368.0      0.11686200
  0.4470870       22367.0      0.11844100
  0.4471070       22366.0      0.12004200
  0.4471270       22365.0      0.12166300
  0.4471470       22364.0      0.12330600
  0.4471670       22363.0      0.12497000
  0.4471870       22362.0      0.12665400
  0.4472070       22361.0      0.12835900
  0.4472270       22360.0      0.13008300
  0.4472470       22359.0      0.13182700
  0.4472670       22358.0      0.13359100
  0.4472870       22357.0      0.13537400
  0.4473070       22356.0      0.13717600
  0.4473270       22355.0      0.13899700
  0.4473470       22354.0      0.14083600
  0.4473670       22353.0      0.14269400
  0.4473870       22352.0      0.14456900
  0.4474070       22351.0      0.14646300
  0.4474270       22350.0      0.14837400
  0.4474470       22349.0      0.15030200
  0.4474670       22348.0      0.15224700
  0.4474870       22347.0      0.15420900
  0.4475070       22346.0      0.15618800
  0.4475270       22345.0      0.15819600
  0.4475470       22344.0      0.16023500
  0.4475670       22343.0      0.16230300
  0.4475880       22342.0      0.16439900
  0.4476080       22341.0      0.16652400
  0.4476280       22340.0      0.16867500
  0.4476480       22339.0      0.17085200
  0.4476680       22338.0      0.17305400
  0.4476880       22337.0      0.17528000
  0.4477080       22336.0      0.17753000
  0.4477280       22335.0      0.17980100
  0.4477480       22334.0      0.18209300
  0.4477680       22333.0      0.18440600
  0.4477880       22332.0      0.18673700
  0.4478080       22331.0      0.18908800
  0.4478280       22330.0      0.19145500
  0.4478480       22329.0      0.19383900
  0.4478680       22328.0      0.19623800
  0.4478880       22327.0      0.19865200
  0.4479080       22326.0      0.20108000
  0.4479280       22325.0      0.20352000
  0.4479480       22324.0      0.20597200
  0.4479680       22323.0      0.20843400
  0.4479890       22322.0      0.21090600
  0.4480090       22321.0      0.21339000
  0.4480290       22320.0      0.21590300
  0.4480490       22319.0      0.21844800
  0.4480690       22318.0      0.22102400
  0.4480890       22317.0      0.22363000
  0.4481090       22316.0      0.22626500
  0.4481290       22315.0      0.22892700
  0.4481490       22314.0      0.23161400
  0.4481690       22313.0      0.23432600
  0.4481890       22312.0      0.23706100
  0.4482090       22311.0      0.23981800
  0.4482290       22310.0      0.24259600
  0.4482500       22309.0      0.24539300
  0.4482700       22308.0      0.24820800
  0.4482900       22307.0      0.25103900
  0.4483100       22306.0      0.25388600
  0.4483300       22305.0      0.25674700
  0.4483500       22304.0      0.25962000
  0.4483700       22303.0      0.26250500
  0.4483900       22302.0      0.26540000
  0.4484100       22301.0      0.26830400
  0.4484300       22300.0      0.27121500
  0.4484510       22299.0      0.27413300
  0.4484710       22298.0      0.27705500
  0.4484910       22297.0      0.27998000
  0.4485110       22296.0      0.28290800
  0.4485310       22295.0      0.28583700
  0.4485510       22294.0      0.28876500
  0.4485710       22293.0      0.29169100
  0.4485910       22292.0      0.29461400
  0.4486120       22291.0      0.29753300
  0.4486320       22290.0      0.30044600
  0.4486520       22289.0      0.30335100
  0.4486720       22288.0      0.30624900
  0.4486920       22287.0      0.30913600
  0.4487120       22286.0      0.31201200
  0.4487320       22285.0      0.31487600
  0.4487520       22284.0      0.31772700
  0.4487730       22283.0      0.32056200
  0.4487930       22282.0      0.32338000
  0.4488130       22281.0      0.32618100
  0.4488330       22280.0      0.32896300
  0.4488530       22279.0      0.33172500
  0.4488730       22278.0      0.33446400
  0.4488930       22277.0      0.33718100
  0.4489140       22276.0      0.33987300
  0.4489340       22275.0      0.34254000
  0.4489540       22274.0      0.34517900
  0.4489740       22273.0      0.34779000
  0.4489940       22272.0      0.35037100
  0.4490140       22271.0      0.35292100
  0.4490350       22270.0      0.35544200
  0.4490550       22269.0      0.35793600
  0.4490750       22268.0      0.36040400
  0.4490950       22267.0      0.36285100
  0.4491150       22266.0      0.36527800
  0.4491350       22265.0      0.36768700
  0.4491560       22264.0      0.37008200
  0.4491760       22263.0      0.37246400
  0.4491960       22262.0      0.37483600
  0.4492160       22261.0      0.37720000
  0.4492360       22260.0      0.37955900
  0.4492560       22259.0      0.38191600
  0.4492770       22258.0      0.38427200
  0.4492970       22257.0      0.38663100
  0.4493170       22256.0      0.38899400
  0.4493370       22255.0      0.39136000
  0.4493570       22254.0      0.39373000
  0.4493780       22253.0      0.39610300
  0.4493980       22252.0      0.39847700
  0.4494180       22251.0      0.40085300
  0.4494380       22250.0      0.40322900
  0.4494580       22249.0      0.40560400
  0.4494790       22248.0      0.40797900
  0.4494990       22247.0      0.41035200
  0.4495190       22246.0      0.41272200
  0.4495390       22245.0      0.41508900
  0.4495590       22244.0      0.41745200
  0.4495800       22243.0      0.41981100
  0.4496000       22242.0      0.42216400
  0.4496200       22241.0      0.42451200
  0.4496400       22240.0      0.42685200
  0.4496610       22239.0      0.42918500
  0.4496810       22238.0      0.43151000
  0.4497010       22237.0      0.43382600
  0.4497210       22236.0      0.43613200
  0.4497410       22235.0      0.43842800
  0.4497620       22234.0      0.44071300
  0.4497820       22233.0      0.44298600
  0.4498020       22232.0      0.44524600
  0.4498220       22231.0      0.44749400
  0.4498430       22230.0      0.44972700
  0.4498630       22229.0      0.45194500
