case_id,palette,base_luminance,sun_elevation_deg,slope_toward_sun_deg,local_mu,illumination_factor,albedo_r,albedo_g,albedo_b,albedo_y,input_r,input_g,input_b,input_y,identity_r,identity_g,identity_b,identity_y,sza_applied_gain,sza_r,sza_g,sza_b,sza_y,toe_applied_gain,toe_r,toe_g,toe_b,toe_y,combined_sza_gain,combined_toe_gain,combined_effective_gain,combined_r,combined_g,combined_b,combined_y,max_chroma_error
43,forest,1e-06,10,0,0.173648177667,0.322391505687,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,2.28581612087e-07,3.68680019494e-07,1.40098407408e-07,3.22391505687e-07,2.28581612087e-07,3.68680019494e-07,1.40098407408e-07,3.22391505687e-07,1,2.28581612087e-07,3.68680019494e-07,1.40098407408e-07,3.22391505687e-07,1,2.28581612087e-07,3.68680019494e-07,1.40098407408e-07,3.22391505687e-07,1,1,1,2.28581612087e-07,3.68680019494e-07,1.40098407408e-07,3.22391505687e-07,0
44,forest,1e-06,10,20,0.5,0.59,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,1,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,1,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,1,1,1,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,0
45,forest,1e-06,20,-20,0,0.18,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,1,1,1,1.27623369257e-07,2.05844143963e-07,7.82207747059e-08,1.8e-07,0
46,forest,1e-06,20,0,0.342020143326,0.460456517527,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,3.26472289795e-07,5.26568209347e-07,2.00095919552e-07,4.60456517527e-07,3.26472289795e-07,5.26568209347e-07,2.00095919552e-07,4.60456517527e-07,1,3.26472289795e-07,5.26568209347e-07,2.00095919552e-07,4.60456517527e-07,1,3.26472289795e-07,5.26568209347e-07,2.00095919552e-07,4.60456517527e-07,1,1,1,3.26472289795e-07,5.26568209347e-07,2.00095919552e-07,4.60456517527e-07,0
47,forest,1e-06,20,20,0.642787609687,0.707085839943,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,5.01337095819e-07,8.08608219063e-07,3.07271123244e-07,7.07085839943e-07,5.01337095819e-07,8.08608219063e-07,3.07271123244e-07,7.07085839943e-07,1,5.01337095819e-07,8.08608219063e-07,3.07271123244e-07,7.07085839943e-07,1,5.01337095819e-07,8.08608219063e-07,3.07271123244e-07,7.07085839943e-07,1,1,1,5.01337095819e-07,8.08608219063e-07,3.07271123244e-07,7.07085839943e-07,0
48,forest,1e-06,25,-20,0.0871557427477,0.251467709053,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,1.78295312715e-07,2.87573085024e-07,1.09277772309e-07,2.51467709053e-07,1.78295312715e-07,2.87573085024e-07,1.09277772309e-07,2.51467709053e-07,1.3,2.31783906529e-07,3.73845010531e-07,1.42061104002e-07,3.26908021769e-07,1.5,2.67442969072e-07,4.31359627536e-07,1.63916658464e-07,3.7720156358e-07,1.3,1.5,1.95,3.47675859794e-07,5.60767515797e-07,2.13091656003e-07,4.90362032654e-07,5.55111512313e-17
49,forest,1e-06,25,0,0.422618261741,0.526546974627,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,3.73331660967e-07,6.02147840269e-07,2.28816179302e-07,5.26546974627e-07,3.73331660967e-07,6.02147840269e-07,2.28816179302e-07,5.26546974627e-07,1.3,4.85331159257e-07,7.82792192349e-07,2.97461033093e-07,6.84511067016e-07,1.5,5.5999749145e-07,9.03221760403e-07,3.43224268953e-07,7.89820461941e-07,1.3,1.5,1.95,7.27996738885e-07,1.17418828852e-06,4.46191549639e-07,1.02676660052e-06,5.55111512313e-17
50,forest,1e-06,25,20,0.707106781187,0.759827560573,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,5.3873196297e-07,8.68922520919e-07,3.30190557949e-07,7.59827560573e-07,5.3873196297e-07,8.68922520919e-07,3.30190557949e-07,7.59827560573e-07,1.3,7.00351551861e-07,1.1295992772e-06,4.29247725334e-07,9.87775828745e-07,1.5,8.08097944455e-07,1.30338378138e-06,4.95285836924e-07,1.13974134086e-06,1.3,1.5,1.95,1.05052732779e-06,1.69439891579e-06,6.43871588001e-07,1.48166374312e-06,2.77555756156e-17
51,forest,1e-06,30,-20,0.173648177667,0.322391505687,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,2.28581612087e-07,3.68680019494e-07,1.40098407408e-07,3.22391505687e-07,2.28581612087e-07,3.68680019494e-07,1.40098407408e-07,3.22391505687e-07,1.6,3.65730579338e-07,5.89888031191e-07,2.24157451853e-07,5.15826409099e-07,1.5,3.4287241813e-07,5.53020029242e-07,2.10147611112e-07,4.8358725853e-07,1.6,1.5,2.4,5.48595869008e-07,8.84832046787e-07,3.36236177779e-07,7.73739613649e-07,0
52,forest,1e-06,30,0,0.5,0.59,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,1.6,6.69313669881e-07,1.07953817723e-06,4.10224507346e-07,9.44e-07,1.5,6.27481565513e-07,1.01206704115e-06,3.84585475637e-07,8.85e-07,1.6,1.5,2.4,1.00397050482e-06,1.61930726584e-06,6.1533676102e-07,1.416e-06,1.11022302463e-16
