id,nstr,L_over_E_sr1,rho_f,BRF,R,T_down,atmospheric_absorptance
79,68,0.0015475748076663866,0.0048618496466453567,0.011504116330941658,0.034126739834151237,0.9658732599716161,1.9423262997975144e-10
80,32,0.0015473031874540671,0.0048609963265817679,0.01150209720365626,0.034128103121691435,0.96587189718614974,-3.0784119697813139e-10
80,68,0.0015475748076663866,0.0048618496466453567,0.011504116330941658,0.034126739834151237,0.9658732599716161,1.9423262997975144e-10
81,32,0.0096136407094291488,0.03020214302699438,0.046464835426145198,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
81,68,0.0096122745515180331,0.030197851115337175,0.046458232485134116,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
82,32,0.004684772145643553,0.014717645756495878,0.02264253193307058,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
82,68,0.0046847266616098174,0.014717502864189639,0.022642312098753288,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
83,32,0.0047529999837339111,0.014931989831410862,0.022972292048324402,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
83,68,0.004752779645879961,0.014931297619627583,0.022971227107119359,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
84,32,0.0027094252185889201,0.0085119103621698715,0.013095246711030571,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
84,68,0.002709494738314209,0.0085121287648281183,0.013095582715120182,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
85,32,0.0021993989349267992,0.0069096155362792476,0.01063017774812192,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
85,68,0.0021994170809874931,0.0069096725438102151,0.010630265452015715,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
86,32,0.0023710658344407365,0.0074489230066567703,0.011459881548702724,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
86,68,0.0023710052198779347,0.0074487325803915721,0.011459588585217803,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
87,32,0.001527945066644572,0.0048001809964593545,0.0073848938407066987,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
87,68,0.0015280542284595779,0.0048005239384154297,0.0073854214437160453,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
88,32,0.001527945066644572,0.0048001809964593545,0.0073848938407066987,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
88,68,0.0015280542284595779,0.0048005239384154297,0.0073854214437160453,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
89,32,0.001527945066644572,0.0048001809964593545,0.0073848938407066987,0.01738946969987297,0.98261053017905531,1.2107170821451518e-10
89,68,0.0015280542284595779,0.0048005239384154297,0.0073854214437160453,0.017389707722690585,0.98261029233429276,-5.6983306961910785e-11
90,32,0.0058717976221518333,0.018446796273118217,0.021300525587941974,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
90,68,0.0058709725304940067,0.018444204171227448,0.02129753248649317,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
91,32,0.0045438937902630774,0.014275063350182764,0.01648342333585396,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
91,68,0.0045438695598335639,0.014274987228043412,0.016483335437578666,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
92,32,0.0045326901238585404,0.014239865994112999,0.016442780929850676,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
92,68,0.0045324373448152773,0.014239071865327703,0.01644186394891475,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
93,32,0.0022540659194803772,0.0070813569333466756,0.0081768466633910519,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
93,68,0.0022539383943057647,0.007080956301194965,0.0081763840532297783,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
94,32,0.0021792061331674757,0.0068461779786167616,0.0079052853977489498,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
94,68,0.0021792274399861566,0.0068462449159618017,0.0079053626903373055,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
95,32,0.0023272535582500673,0.0073112826816391172,0.0084423420487315867,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
95,68,0.0023272586655411526,0.0073112987266672706,0.008442360575934232,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
96,32,0.0015727120287423707,0.0049408205557093313,0.0057051681557128368,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
96,68,0.0015727911898331085,0.0049410692476104436,0.0057054553203849424,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
97,32,0.0015727120287423707,0.0049408205557093313,0.0057051681557128368,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
97,68,0.0015727911898331085,0.0049410692476104436,0.0057054553203849424,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
98,32,0.0015727120287423707,0.0049408205557093313,0.0057051681557128368,0.011422572959624969,0.98857742661539028,4.2498471408691785e-10
98,68,0.0015727911898331085,0.0049410692476104436,0.0057054553203849424,0.01142242335567098,0.98857757704192184,-3.9759284753415614e-10
99,32,0.0047277843462666461,0.014852772569988118,0.015155890377538896,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
99,68,0.0047284770896462887,0.014854948887500425,0.015158111109694311,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
100,32,0.0044894031755256768,0.014103876035234155,0.014391710240034853,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
100,68,0.0044895590944209248,0.014104365868890021,0.01439221007029594,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
101,32,0.0044183519762200918,0.013880662109466984,0.014163940928027535,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
101,68,0.0044190291821679635,0.013882789614697785,0.014166111851732435,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
102,32,0.0021664387133229052,0.0068060679462277627,0.0069449672920691456,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
102,68,0.0021665896357372393,0.0068065420829758966,0.0069454511050774459,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
103,32,0.0021876435343686279,0.0068726848562456911,0.0070129437308629498,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
103,68,0.0021877056997693144,0.0068728801546117961,0.0070131430149099963,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
104,32,0.0022407526222253202,0.0070395319764951312,0.0071831958943827873,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
104,68,0.0022408502524948262,0.0070398386910325789,0.0071835088684005909,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
105,32,0.0016186246476822617,0.0050850593020779601,0.0051888360225285307,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
105,68,0.001618719946027958,0.0050853586906606995,0.005189141521082347,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
106,32,0.0016186246476822617,0.0050850593020779601,0.0051888360225285307,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
106,68,0.001618719946027958,0.0050853586906606995,0.005189141521082347,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
107,32,0.0016186246476822617,0.0050850593020779601,0.0051888360225285307,0.0096340753588450498,0.99036592492185094,-2.8069602198144139e-10
107,68,0.001618719946027958,0.0050853586906606995,0.005189141521082347,0.0096340883203661996,0.99036591139686425,2.827695855245338e-10
108,32,0.11333624294529887,0.35605630822241896,2.3737087214827932,0.32653092777130732,0.67346907189584537,3.3284730527327611e-10
